 Beta  Tr[Hp]/Tr[p]  Tr[Hp]/Tr[p]_error
 3.69    -24.281596            0.008028
 3.70    -24.285582            0.007482
 3.71    -24.290348            0.007901
 3.72    -24.283733            0.007900
 3.73    -24.280991            0.008200
 3.74    -24.287628            0.007990
 3.75    -24.287255            0.008306
 3.76    -24.295032            0.008611
 3.77    -24.297193            0.008529
 3.78    -24.299821            0.008681
 3.79    -24.302804            0.008403
 3.80    -24.307285            0.008752
 3.81    -24.312532            0.008782
 3.82    -24.316336            0.008969
 3.83    -24.314062            0.009319
 3.84    -24.314322            0.009086
 3.85    -24.311634            0.008938
 3.86    -24.317883            0.009210
 3.87    -24.323254            0.009027
 3.88    -24.323467            0.009320
 3.89    -24.327262            0.008950
 3.90    -24.329046            0.008544
 3.91    -24.326378            0.008721
 3.92    -24.330205            0.009017
 3.93    -24.329109            0.009170
 3.94    -24.333530            0.008984
 3.95    -24.337038            0.009482
 3.96    -24.335782            0.010108
 3.97    -24.336279            0.009511
 3.98    -24.343372            0.009841
 3.99    -24.342962            0.009176
 4.00    -24.346546            0.009413
 4.01    -24.338641            0.008750
 4.02    -24.334682            0.008802
 4.03    -24.336572            0.008766
 4.04    -24.344429            0.009063
 4.05    -24.346550            0.008997
 4.06    -24.344221            0.008660
 4.07    -24.343430            0.008215
 4.08    -24.347975            0.008356
 4.09    -24.349210            0.007539
 4.10    -24.350719            0.007855
 4.11    -24.350877            0.008649
 4.12    -24.352868            0.008304
 4.13    -24.350906            0.008613
 4.14    -24.351486            0.008867
 4.15    -24.347986            0.009095
 4.16    -24.346087            0.008810
 4.17    -24.347394            0.009396
 4.18    -24.348730            0.008940
 4.19    -24.350360            0.008748
 4.20    -24.348424            0.009112
 4.21    -24.351158            0.009547
 4.22    -24.345904            0.009343
 4.23    -24.347204            0.009408
 4.24    -24.350969            0.009640
 4.25    -24.352540            0.009946
 4.26    -24.357140            0.010118
 4.27    -24.362204            0.010112
 4.28    -24.363571            0.010617
 4.29    -24.365848            0.010800
 4.30    -24.371568            0.011099
 4.31    -24.371792            0.010660
 4.32    -24.368810            0.010271
 4.33    -24.364751            0.010248
 4.34    -24.367401            0.009685
 4.35    -24.372458            0.010194
 4.36    -24.373122            0.009822
 4.37    -24.367497            0.009484
 4.38    -24.370757            0.009327
 4.39    -24.368179            0.009071
 4.40    -24.365745            0.008837
 4.41    -24.368604            0.009301
 4.42    -24.369927            0.009048
 4.43    -24.364125            0.008680
 4.44    -24.368876            0.008557
 4.45    -24.371689            0.008708
 4.46    -24.374021            0.008744
 4.47    -24.369847            0.008779
 4.48    -24.373835            0.008977
 4.49    -24.375464            0.008903
 4.50    -24.376979            0.009130
 4.51    -24.379015            0.008982
 4.52    -24.378620            0.009129
 4.53    -24.372302            0.009357
 4.54    -24.368270            0.009729
 4.55    -24.367793            0.009820
 4.56    -24.365043            0.010148
 4.57    -24.370062            0.010358
 4.58    -24.372414            0.010247
 4.59    -24.370966            0.010234
 4.60    -24.375349            0.010535
 4.61    -24.378526            0.010106
 4.62    -24.378122            0.009509
 4.63    -24.376800            0.008978
 4.64    -24.381448            0.008930
 4.65    -24.380552            0.008932
 4.66    -24.381890            0.009126
 4.67    -24.382606            0.009429
 4.68    -24.383271            0.009185
 4.69    -24.383033            0.009362
 4.70    -24.381354            0.009393
 4.71    -24.376831            0.009458
 4.72    -24.386412            0.009627
 4.73    -24.385951            0.009452
 4.74    -24.386756            0.009820
 4.75    -24.389316            0.009268
 4.76    -24.392976            0.009948
 4.77    -24.390282            0.010247
 4.78    -24.386087            0.010570
 4.79    -24.388536            0.010058
 4.80    -24.397152            0.010476
 4.81    -24.390867            0.010618
 4.82    -24.393272            0.010462
 4.83    -24.391636            0.010669
 4.84    -24.393101            0.010291
 4.85    -24.389552            0.009931
 4.86    -24.392848            0.009649
 4.87    -24.389409            0.009531
 4.88    -24.389567            0.009062
 4.89    -24.383783            0.008639
 4.90    -24.380974            0.008610
 4.91    -24.382537            0.008434
 4.92    -24.383442            0.008040
 4.93    -24.381348            0.007918
 4.94    -24.384224            0.007956
 4.95    -24.385212            0.008014
 4.96    -24.378833            0.008810
 4.97    -24.379324            0.008938
 4.98    -24.377592            0.008933
 4.99    -24.377083            0.009005
 5.00    -24.373694            0.008739
