
   HANDE

 ================================================================
 Compiled on Mar 21 2016 at 19:13:39
 Compiled using cuc3.intel13.mpi.(optimised)
 VCS BASE repository version:
     d8211eb317e354755be157df381fd8ad291afaaf
 Hostname:
     hylleraas
 Working directory: 
     /home/fm813/projects/hande/documentation/manual/tutorials/calcs/canonical_estimates
 Started running on 21/03/2016 at 19:19:51
 Calculation UUID: 71e445ad-6deb-4f6d-9fd2-5b0240340c48.
 Preprocessor settings:
     DISABLE_HDF5 not defined.  HDF5 enabled.
     DISABLE_LANCZOS defined.  Lanczos disabled.
     DISABLE_UUID not defined.  UUID enabled.
     PARALLEL defined.  MPI parallelization enabled.
     DISABLE_SCALAPACK not defined.  ScaLAPACK enabled.
     SINGLE_PRECISION not defined.  Double precision used throughout.
     USE_POPCNT not defined.  Internal POPCNT procedure used.
     DET_SIZE = 32.
     POP_SIZE = 32.
 ================================================================

 Input options
 -------------

sys = ueg {
    nel = 7,
    ms = 7,
    dim = 3,
    cutoff = 10,
    rs = 1,
}

canonical_estimates {
    sys = sys,
    canonical_estimates = {
        beta = 1,
        nattempts = 10000,
        ncycles = 1000,
        fermi_temperature = true,
    },
}

 -------------

 Basis functions
 ---------------

 Spin given in units of 1/2.
 k-points given in terms of the reciprocal lattice vectors of the crystal cell.

 index   k-point            ms       <i|h|i>
   218   (  3,  0,  0)     -1        1.86830518E+01
   219   (  0,  3,  0)      1        1.86830518E+01
   220   (  0,  3,  0)     -1        1.86830518E+01
   221   ( -2, -2,  1)      1        1.86830518E+01
   222   ( -2, -2,  1)     -1        1.86830518E+01
   223   (  2, -2,  1)      1        1.86830518E+01
   224   (  2, -2,  1)     -1        1.86830518E+01
   225   ( -2,  2,  1)      1        1.86830518E+01
   226   ( -2,  2,  1)     -1        1.86830518E+01
   227   (  2,  2,  1)      1        1.86830518E+01
   228   (  2,  2,  1)     -1        1.86830518E+01
   229   ( -1, -2,  2)      1        1.86830518E+01
   230   ( -1, -2,  2)     -1        1.86830518E+01
   231   (  1, -2,  2)      1        1.86830518E+01
   232   (  1, -2,  2)     -1        1.86830518E+01
   233   ( -2, -1,  2)      1        1.86830518E+01
   234   ( -2, -1,  2)     -1        1.86830518E+01
   235   (  2, -1,  2)      1        1.86830518E+01
   236   (  2, -1,  2)     -1        1.86830518E+01
   237   ( -2,  1,  2)      1        1.86830518E+01
   238   ( -2,  1,  2)     -1        1.86830518E+01
   239   (  2,  1,  2)      1        1.86830518E+01
   240   (  2,  1,  2)     -1        1.86830518E+01
   241   ( -1,  2,  2)      1        1.86830518E+01
   242   ( -1,  2,  2)     -1        1.86830518E+01
   243   (  1,  2,  2)      1        1.86830518E+01
   244   (  1,  2,  2)     -1        1.86830518E+01
   245   (  0,  0,  3)      1        1.86830518E+01
   246   (  0,  0,  3)     -1        1.86830518E+01
   247   (  0, -1, -3)      1        2.07589464E+01
   248   (  0, -1, -3)     -1        2.07589464E+01
   249   ( -1,  0, -3)      1        2.07589464E+01
   250   ( -1,  0, -3)     -1        2.07589464E+01
   251   (  1,  0, -3)      1        2.07589464E+01
   252   (  1,  0, -3)     -1        2.07589464E+01
   253   (  0,  1, -3)      1        2.07589464E+01
   254   (  0,  1, -3)     -1        2.07589464E+01
   255   (  0, -3, -1)      1        2.07589464E+01
   256   (  0, -3, -1)     -1        2.07589464E+01
   257   ( -3,  0, -1)      1        2.07589464E+01
   258   ( -3,  0, -1)     -1        2.07589464E+01
   259   (  3,  0, -1)      1        2.07589464E+01
   260   (  3,  0, -1)     -1        2.07589464E+01
   261   (  0,  3, -1)      1        2.07589464E+01
   262   (  0,  3, -1)     -1        2.07589464E+01
   263   ( -1, -3,  0)      1        2.07589464E+01
   264   ( -1, -3,  0)     -1        2.07589464E+01
   265   (  1, -3,  0)      1        2.07589464E+01
   266   (  1, -3,  0)     -1        2.07589464E+01
   267   ( -3, -1,  0)      1        2.07589464E+01
